target,demand,PoA
0.85,0.4,1.019636373
0.85,0.5,1.037865358
0.85,0.6,1.052967324
0.85,0.7,1.050528405
0.85,0.8,1.051514514
0.85,0.9,1.050622154
0.85,1,1.048516932
0.85,1.1,1.045856511
0.85,1.2,1.043380643
0.85,1.3,1.041090468
0.85,1.4,1.038978979
0.85,1.5,1.037035063
0.85,1.6,1.035245876
0.85,1.7,1.033598212
0.85,1.8,1.03207926
0.85,1.9,1.030676993
0.85,2,1.029380344
0.9,-0.9,1
0.9,-0.8,1
0.9,-0.7,1
0.9,-0.6,1
0.9,-0.5,1
0.9,-0.4,1
0.9,-0.3,1
0.9,-0.2,1
0.9,-0.1,1
0.9,0,1
0.9,0.1,1
0.9,0.2,1
0.9,0.3,1
0.9,0.4,1
0.9,0.5,1
0.9,0.6,1.00771441
0.9,0.7,1.021240497
0.9,0.8,1.036654011
0.9,0.9,1.038082002
0.9,1,1.038683897
0.9,1.1,1.037211313
0.9,1.2,1.039425691
0.9,1.3,1.037587467
0.9,1.4,1.035876857
0.9,1.5,1.036144167
0.9,1.6,1.035245876
0.9,1.7,1.033598212
0.9,1.8,1.03207926
0.9,1.9,1.030676993
0.9,2,1.029380344
0.95,-0.9,1
0.95,-0.8,1
0.95,-0.7,1
0.95,-0.6,1
0.95,-0.5,1
0.95,-0.4,1
0.95,-0.3,1
0.95,-0.2,1
0.95,-0.1,1
0.95,0,1
0.95,0.1,1
0.95,0.2,1
0.95,0.3,1
0.95,0.4,1
0.95,0.5,1
0.95,0.6,1
0.95,0.7,1
0.95,0.8,1
0.95,0.9,1
0.95,1,1
0.95,1.1,1
0.95,1.2,1.007117761
0.95,1.3,1.006947394
0.95,1.4,1.0190214
0.95,1.5,1.018583495
0.95,1.6,1.01814985
0.95,1.7,1.017724045
0.95,1.8,1.019681682
0.95,1.9,1.019092816
0.95,2,1.019714334
1,-0.9,1
1,-0.8,1
1,-0.7,1
1,-0.6,1
1,-0.5,1
1,-0.4,1
1,-0.3,1
1,-0.2,1
1,-0.1,1
1,0,1
1,0.1,1
1,0.2,1
1,0.3,1
1,0.4,1
1,0.5,1
1,0.6,1
1,0.7,1
1,0.8,1
1,0.9,1
1,1,1
1,1.1,1
1,1.2,1
1,1.3,1
1,1.4,1
1,1.5,1
1,1.6,1
1,1.7,1
1,1.8,1
1,1.9,1
1,2,1
